id,resourceREF,products,linkName,href,method,title
account_login,accountResource,ALL,account:login,/account/login,POST,Sign In Account
account_logout,accountResource,ALL,account:logout,/account/logout,POST,Logout Account
account_signup,accountResource,ALL,account:register,/account/register,POST,Sign Up Account
account_profile,accountResource,ALL,account:profile,/account/profile,GET,Get information account from jwt
account_updateProfile,accountResource,ALL,account:profile,/account/profile,PATCH,Update information account
account_changePassword,accountResource,ALL,account:change_password,/account/change_password,POST,Change password account by ID
account_list,accountResource,ALL,account:list,/account/list,GET,Get list account
account_info,accountResource,ALL,account:id,/account/:id,GET,Get account by ID
account_create,accountResource,ALL,account:create,/account/register,GET,Create new account
account_update,accountResource,ALL,account:id,/account/:id,PATCH,Update account by ID
account_delete,accountResource,ALL,account:id,/account/:id,DELETE,Remove account by ID
table_list,tableResource,ALL,table:list,/table/list,GET,Get list table
table_info,tableResource,ALL,table:id,/table/:id,GET,Get table by ID
table_create,tableResource,ALL,table:create,/table/create,POST,Create new table
table_update,tableResource,ALL,table:id,/table/:id,PATCH,Update table by ID
table_delete,tableResource,ALL,table:id,/table/:id,DELETE,Remove table by ID
zone_list,tableResource,ALL,zone:list,/zone/list,GET,Get list zone
zone_info,tableResource,ALL,zone:id,/zone/:id,GET,Get zone by ID
zone_create,tableResource,ALL,zone:create,/zone/create,POST,Create new zone
zone_update,tableResource,ALL,zone:id,/zone/:id,PATCH,Update zone by ID
zone_delete,tableResource,ALL,zone:id,/zone/:id,DELETE,Remove zone by ID
menu_list,menuResource,ALL,menu:list,/menu/list,GET,Get list menu
menu_info,menuResource,ALL,menu:id,/menu/:id,GET,Get menu by ID
menu_create,menuResource,ALL,menu:create,/menu/create,POST,Create new menu
menu_update,menuResource,ALL,menu:id,/menu/:id,PATCH,Update menu by ID
menu_delete,menuResource,ALL,menu:id,/menu/:id,DELETE,Get menu by ID
category_list,menuResource,ALL,categories:list,/menu/categories/list,GET,Get list categories
category_info,menuResource,ALL,categories:id,/menu/categories/:id,GET,Get categories by ID
category_create,menuResource,ALL,categories:create,/menu/categories/create,POST,Create new categories
category_update,menuResource,ALL,categories:id,/menu/categories/:id,PATCH,Update categories by ID
