resourceREF,type,enumValue,properties,paths,require,unique,schemaREF
accountResource,String,,username,local.username,y,y,loginSchema
accountResource,String,,password,local.password,y,,loginSchema
accountResource,model,,User,,,,userSchema
tableResource,model,,Table,,,,tableSchema
tableResource,model,,Zone,,,,zoneSchema
menuResource,model,,Menu,,,,menuSchema
menuResource,model,,MenuCategories,,,,menuCatSchema
billResource,model,,Bill,,,,billSchema
billResource,model,,Order,,,,orderSchema
billResource,Number,,total_price_bills,,y,,paySchema
billResource,String,,tax_promotions,tax_promotions,,,paySchema
billResource,Number,,af_price_tax_promotions,af_price_tax_promotions,,,paySchema
billResource,Number,,money_give_by_cus,money_give_by_cus,,,paySchema
billResource,Number,,money_pay_for_cus,money_pay_for_cus,,,paySchema
roleResource,model,,Role,,,,roleSchema
reportResource,String,,from,from,,,reportSchema
reportResource,String,,to,to,,,reportSchema
